Year, , "THEORY6", "Circuit Chargers", "Team Appreciate", "Exploding Bacon", "CocoNuts", "HIGHROLLERS", "MARS", "Quixilver", "Rolling Thunder", "Thunder Down Under", "Charger Robotics", "Space Cookies"
2001, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2002, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2003, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2004, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2005, , 2.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2006, , 3.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0
2007, , 4.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.5, 0.0, 1.5, 0.0
2008, , 2.0, 4.5, 0.0, 0.0, 0.0, 2.25, 0.0, 4.25, 6.0, 0.0, 2.25, 0.0
2009, , 0.75, 6.5, 0.0, 0.0, 2.25, 4.5, 0.0, 4.25, 9.0, 0.0, 0.75, 1.5
2010, , 0.0, 8.75, 0.0, 2.0, 3.75, 4.5, 1.5, 5.75, 10.25, 0.0, 2.75, 2.25
2011, , 1.5, 6.25, 0.0, 2.25, 6.25, 2.5, 3.75, 6.25, 9.5, 2.0, 3.75, 4.25
2012, , 4.5, 4.5, 0.0, 2.75, 10.25, 1.25, 6.5, 8.5, 8.75, 3.5, 6.5, 5.75
2013, , 6.0, 5.0, 2.25, 5.5, 9.5, 2.0, 8.0, 10.0, 7.25, 6.25, 9.0, 7.0
2014, , 10.25, 5.75, 5.75, 6.0, 9.5, 3.75, 8.5, 9.25, 5.75, 6.25, 6.75, 7.0
2015, , 11.0, 10.0, 7.25, 8.5, 9.25, 6.75, 8.25, 8.75, 6.0, 7.0, 4.5, 4.5
2016, , 13.25, 9.75, 9.5, 8.5, 8.5, 8.5, 8.25, 8.0, 7.25, 6.75, 5.75, 5.5
